               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.082744,            0.024075,            0.059523,             0.40598,             0.77945,             0.50681,             0.21815,            0.037102,            0.011008,            0.021306,            0.070526,           0.0032749,           0.0032749
                   1,            0.057109,            0.020047,            0.029095,             0.32954,             0.83222,             0.53489,             0.37556,            0.034717,           0.0072624,            0.015926,              0.0405,            0.006582,            0.006582
                   2,            0.056923,            0.016233,            0.022141,              0.5555,                0.78,             0.59625,             0.29965,            0.042034,           0.0061172,            0.013604,            0.010448,           0.0098628,           0.0098628
                   3,            0.052623,             0.01483,            0.019236,             0.56632,             0.87073,             0.76503,             0.50667,              0.0253,           0.0062721,            0.010543,           0.0098812,           0.0098812,           0.0098812
                   4,            0.047168,            0.013137,            0.016276,             0.65144,             0.80985,             0.79518,             0.50145,            0.027108,           0.0055757,           0.0063244,           0.0098812,           0.0098812,           0.0098812
                   5,            0.040705,            0.011988,            0.012767,             0.91333,             0.92568,             0.96035,             0.66374,            0.020317,           0.0049817,            0.006086,           0.0098416,           0.0098416,           0.0098416
                   6,             0.03802,            0.011332,            0.011233,             0.88234,             0.96556,             0.96813,             0.68126,            0.022198,           0.0046793,           0.0038675,            0.009802,            0.009802,            0.009802
                   7,            0.035612,            0.010592,            0.010305,              0.9737,             0.98667,             0.99313,             0.60026,            0.017885,           0.0046407,           0.0036486,           0.0097624,           0.0097624,           0.0097624
                   8,            0.034718,            0.010801,            0.010635,             0.98409,             0.98782,             0.99297,             0.77797,            0.012794,           0.0041487,           0.0034603,           0.0097228,           0.0097228,           0.0097228
                   9,            0.033017,             0.01048,             0.01016,             0.99674,             0.99818,             0.99497,             0.66976,            0.018475,           0.0044714,           0.0030211,           0.0096832,           0.0096832,           0.0096832
                  10,            0.030553,            0.009681,           0.0088352,             0.99231,             0.99171,             0.99224,              0.7634,            0.014548,           0.0044289,           0.0032314,           0.0096436,           0.0096436,           0.0096436
                  11,            0.030112,            0.009633,           0.0088316,             0.99684,             0.99667,             0.99452,             0.84072,            0.012356,           0.0038754,           0.0028267,            0.009604,            0.009604,            0.009604
                  12,            0.029831,             0.00991,            0.009163,              0.9969,             0.99795,               0.995,             0.80457,            0.014011,           0.0038523,           0.0023578,           0.0095644,           0.0095644,           0.0095644
                  13,            0.028461,           0.0096258,           0.0081456,             0.99638,             0.99554,             0.99499,             0.77427,            0.012952,           0.0040788,           0.0023533,           0.0095248,           0.0095248,           0.0095248
                  14,            0.027344,            0.009364,           0.0076022,             0.99919,             0.99866,               0.995,              0.8136,            0.011548,            0.003827,           0.0026432,           0.0094852,           0.0094852,           0.0094852
                  15,            0.027517,           0.0093856,             0.00821,             0.99644,             0.99675,              0.9949,             0.84773,             0.01138,           0.0039086,           0.0024634,           0.0094456,           0.0094456,           0.0094456
                  16,            0.026711,           0.0092143,           0.0077006,             0.99582,             0.99403,             0.99486,             0.78961,            0.013577,           0.0041505,            0.002452,            0.009406,            0.009406,            0.009406
                  17,             0.02625,            0.008948,           0.0081073,             0.99818,             0.99877,             0.99499,             0.81153,            0.010453,           0.0034897,            0.002344,           0.0093664,           0.0093664,           0.0093664
                  18,             0.02633,           0.0090817,           0.0083125,              0.9989,             0.99965,               0.995,             0.80416,            0.012624,           0.0036698,           0.0020645,           0.0093268,           0.0093268,           0.0093268
                  19,            0.026001,           0.0090304,           0.0080797,             0.99955,                   1,               0.995,             0.80796,            0.011138,            0.003513,           0.0021492,           0.0092872,           0.0092872,           0.0092872
                  20,            0.025296,           0.0090535,           0.0076484,             0.99516,              0.9972,             0.99482,             0.80751,             0.01194,           0.0034948,            0.002162,           0.0092476,           0.0092476,           0.0092476
                  21,            0.024836,           0.0088065,           0.0078488,             0.99223,             0.99125,               0.995,             0.85757,            0.010246,            0.003392,           0.0022328,            0.009208,            0.009208,            0.009208
                  22,            0.023626,           0.0087154,           0.0071305,             0.99675,             0.99979,               0.995,             0.84638,            0.010941,           0.0032758,           0.0019558,           0.0091684,           0.0091684,           0.0091684
                  23,            0.024192,           0.0089406,           0.0065147,             0.99832,             0.99273,               0.995,             0.83158,             0.01137,           0.0033581,           0.0019118,           0.0091288,           0.0091288,           0.0091288
                  24,            0.023127,           0.0085736,           0.0067895,             0.97275,             0.97704,              0.9901,             0.82608,            0.010346,           0.0033141,           0.0035268,           0.0090892,           0.0090892,           0.0090892
                  25,            0.023188,           0.0088855,           0.0071466,              0.9988,             0.99904,               0.995,             0.86826,           0.0089795,           0.0031931,           0.0016942,           0.0090496,           0.0090496,           0.0090496
                  26,            0.024037,           0.0086723,           0.0061197,             0.99969,                   1,               0.995,             0.88389,           0.0089015,           0.0032507,           0.0018004,             0.00901,             0.00901,             0.00901
                  27,            0.023281,            0.008192,           0.0067542,             0.99908,             0.99899,               0.995,             0.84079,            0.010438,           0.0035796,           0.0019158,           0.0089704,           0.0089704,           0.0089704
                  28,            0.022576,           0.0087216,           0.0062591,             0.99956,                   1,               0.995,             0.83941,            0.010786,           0.0033292,           0.0016594,           0.0089308,           0.0089308,           0.0089308
                  29,             0.02273,            0.008377,           0.0059495,             0.99967,                   1,               0.995,             0.85424,           0.0076271,           0.0030162,           0.0017702,           0.0088912,           0.0088912,           0.0088912
                  30,            0.022614,           0.0085686,           0.0066554,             0.98305,             0.97856,             0.99075,             0.86935,           0.0086142,           0.0036093,           0.0031014,           0.0088516,           0.0088516,           0.0088516
                  31,            0.021638,           0.0084383,           0.0061716,             0.99851,             0.99546,               0.995,             0.87708,           0.0087965,           0.0031658,           0.0017802,            0.008812,            0.008812,            0.008812
                  32,            0.021484,           0.0083298,           0.0064076,               0.999,                   1,               0.995,             0.84808,            0.010762,           0.0033923,           0.0016134,           0.0087724,           0.0087724,           0.0087724
                  33,            0.021911,           0.0084756,           0.0069624,             0.99857,             0.99903,               0.995,             0.88088,           0.0080444,           0.0033164,           0.0017341,           0.0087328,           0.0087328,           0.0087328
                  34,            0.021059,           0.0081223,           0.0064486,             0.99941,             0.99964,               0.995,             0.86682,           0.0089365,           0.0032145,           0.0016055,           0.0086932,           0.0086932,           0.0086932
                  35,            0.021107,            0.008067,           0.0063326,             0.99969,                   1,               0.995,             0.85159,           0.0093737,           0.0032637,           0.0016228,           0.0086536,           0.0086536,           0.0086536
                  36,            0.022477,            0.008304,           0.0062752,             0.99963,             0.99899,               0.995,             0.86162,           0.0093415,           0.0034792,           0.0015817,            0.008614,            0.008614,            0.008614
                  37,            0.021136,           0.0082368,           0.0063956,              0.9968,             0.99678,             0.99498,              0.8701,           0.0075687,           0.0034828,            0.001675,           0.0085744,           0.0085744,           0.0085744
                  38,            0.021397,           0.0083477,           0.0060768,             0.99848,             0.99889,              0.9942,             0.86644,           0.0084672,           0.0032399,            0.001531,           0.0085348,           0.0085348,           0.0085348
                  39,            0.020643,           0.0080551,           0.0060308,             0.99881,                   1,               0.995,             0.86794,           0.0088855,           0.0033647,           0.0014878,           0.0084952,           0.0084952,           0.0084952
                  40,            0.020544,           0.0080414,           0.0054581,             0.99952,              0.9992,               0.995,              0.8955,           0.0079535,           0.0031116,           0.0014528,           0.0084556,           0.0084556,           0.0084556
                  41,            0.020644,           0.0081277,           0.0061168,              0.9993,             0.99889,               0.995,             0.87937,           0.0070179,           0.0033426,            0.001381,            0.008416,            0.008416,            0.008416
                  42,            0.020213,           0.0077279,           0.0063126,             0.99942,                   1,               0.995,             0.88105,           0.0090556,           0.0033816,           0.0013522,           0.0083764,           0.0083764,           0.0083764
                  43,            0.019931,           0.0080056,           0.0059201,             0.99971,                   1,               0.995,              0.8732,           0.0083904,            0.003216,           0.0013819,           0.0083368,           0.0083368,           0.0083368
                  44,            0.019519,           0.0076893,           0.0058183,             0.99901,                   1,               0.995,             0.88484,           0.0084474,           0.0032074,           0.0013006,           0.0082972,           0.0082972,           0.0082972
                  45,            0.020597,           0.0078225,             0.00544,              0.9992,                   1,               0.995,             0.88519,           0.0066536,           0.0031947,           0.0012404,           0.0082576,           0.0082576,           0.0082576
                  46,            0.019272,           0.0076856,           0.0051761,             0.99966,                   1,               0.995,             0.88102,           0.0080577,           0.0030904,           0.0012828,            0.008218,            0.008218,            0.008218
                  47,            0.019244,           0.0077834,           0.0060466,             0.99492,             0.99107,             0.99405,             0.88008,           0.0070618,           0.0030794,           0.0018221,           0.0081784,           0.0081784,           0.0081784
                  48,            0.019049,            0.008066,           0.0049766,             0.99908,              0.9998,               0.995,             0.88877,           0.0075365,           0.0030698,           0.0011892,           0.0081388,           0.0081388,           0.0081388
                  49,            0.019364,           0.0076683,           0.0055943,             0.99949,                   1,               0.995,              0.8924,           0.0067036,           0.0030114,           0.0012488,           0.0080992,           0.0080992,           0.0080992
                  50,            0.019457,           0.0079977,           0.0059612,             0.99829,             0.99897,             0.99498,             0.89274,           0.0074385,           0.0029249,           0.0012825,           0.0080596,           0.0080596,           0.0080596
                  51,            0.019435,           0.0076413,           0.0051403,             0.99867,             0.99889,             0.99499,             0.87496,           0.0085901,           0.0028525,           0.0012491,             0.00802,             0.00802,             0.00802
                  52,            0.018678,           0.0079388,           0.0043655,             0.99936,              0.9989,               0.995,             0.90459,           0.0062795,           0.0028564,           0.0012494,           0.0079804,           0.0079804,           0.0079804
                  53,            0.018582,           0.0073969,           0.0049148,             0.99966,                   1,               0.995,              0.8983,           0.0069598,           0.0029341,           0.0011954,           0.0079408,           0.0079408,           0.0079408
                  54,             0.01789,            0.007672,           0.0052675,             0.99967,                   1,               0.995,             0.90487,           0.0069018,           0.0028691,             0.00126,           0.0079012,           0.0079012,           0.0079012
                  55,            0.018426,            0.007859,           0.0051582,             0.99962,                   1,               0.995,             0.86794,           0.0080209,           0.0034696,           0.0012235,           0.0078616,           0.0078616,           0.0078616
                  56,            0.017932,           0.0073076,           0.0052003,             0.99975,                   1,               0.995,             0.91247,           0.0065987,           0.0028844,           0.0012016,            0.007822,            0.007822,            0.007822
                  57,            0.018569,           0.0076465,           0.0047728,             0.99967,                   1,               0.995,             0.88256,           0.0073702,           0.0029607,           0.0011859,           0.0077824,           0.0077824,           0.0077824
                  58,            0.017812,           0.0077143,           0.0055995,             0.99954,                   1,               0.995,             0.89449,           0.0068097,           0.0029937,           0.0011774,           0.0077428,           0.0077428,           0.0077428
